case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
582,14923392_20200622_Feet_L_S_0,GL82,0.9130563527377302,4.440892098500626e-16,0.0,0.9130563527377307,0.9130563527377307
583,14923392_20200622_Feet_L_S_0,GL84,0.9134357933023202,0.00196173978546782,0.019716226680936533,0.8939167288881931,0.9136329555691296
584,14923392_20200622_Feet_L_S_0,GL86,0.9217768525517502,0.013419904183903682,0.06138139986029312,0.8938918876584161,0.9552732875187092
585,14923392_20200622_Feet_L_S_0,Med3,0.8402223134745761,0.01477681079008368,0.03253924902453298,0.8301093687889125,0.8626486178134455
586,14923392_20200622_Feet_L_S_0,Med5,0.9106864808508172,0.019137596461741936,0.1460466504110105,0.8277022319233728,0.9737488823343833
587,14923392_20200622_Feet_L_S_0,Med7,0.8923116958262544,2.220446049250313e-16,0.0,0.8923116958262546,0.8923116958262546
588,14923392_20200622_Feet_L_S_0,Med9,0.8796369747620338,2.220446049250313e-16,0.0,0.8796369747620336,0.8796369747620336
589,14923392_20200622_Feet_L_S_0,Med11,0.8432755269575236,0.0002598147824588959,0.0018558198747063992,0.8432384105600292,0.8450942304347356
590,14923392_20200622_Feet_L_S_0,Med13,0.7917777312555273,0.0033691662431256254,0.017163436867166926,0.7776390439264147,0.7948024807935816
591,14923392_20200622_Feet_L_S_0,Med15,0.7524641639518463,2.220446049250313e-16,0.0,0.7524641639518466,0.7524641639518466
592,14923392_20200622_Feet_L_S_0,Med17,0.6950529912468052,4.440892098500626e-16,0.0,0.6950529912468048,0.6950529912468048
593,14923392_20200622_Feet_L_S_0,Med19,0.624608502544325,0.003623993957751987,0.01200877122826205,0.6224022698105612,0.6344110410388233
594,14923392_20200622_Feet_L_S_1,GL70,0.8898436100633954,0.007267076183191082,0.024745933525329944,0.8681168527981249,0.8928627863234548
595,14923392_20200622_Feet_L_S_1,GL72,0.8994457906489005,0.018624818303951438,0.16237993527120176,0.7948397406746185,0.9572196759458202
596,14923392_20200622_Feet_L_S_1,GL74,0.9018498023284671,0.017720286359727073,0.16056369614058275,0.7974502671801807,0.9580139633207635
597,14923392_20200622_Feet_L_S_1,GL76,0.903017501543846,0.02607301152954203,0.16056369614058275,0.7974502671801807,0.9580139633207635
598,14923392_20200622_Feet_L_S_1,GL78,0.9044579012062891,0.029093904326967773,0.1745792428745463,0.7851753841221729,0.9597546269967192
599,14923392_20200622_Feet_L_S_1,GL80,0.9396496952838028,0.023917577675026325,0.06805473113293947,0.8955247632666725,0.963579494399612
600,14923392_20200622_Feet_L_S_1,GL82,0.925802995336948,0.01786409730921665,0.070899355770495,0.8909184298115036,0.9618177855819986
601,14923392_20200622_Feet_L_S_1,GL84,0.940670064821487,0.022828971333102667,0.07316189163327402,0.889289276044807,0.962451167678081
602,14923392_20200622_Feet_L_S_1,GL86,0.9624854416220111,0.025268583470770697,0.09312123993002563,0.8792874003797025,0.9724086403097282
603,14923392_20200622_Feet_L_S_1,Med3,0.9331432796681696,0.00844600590433997,0.08002714089561314,0.8871977576414116,0.9672248985370248
604,14923392_20200622_Feet_L_S_1,Med5,0.955820987839717,0.0026739194163514445,0.007293713171215854,0.9496942687758957,0.9569879819471115
605,14923392_20200622_Feet_L_S_1,Med7,0.9510112530111456,0.0029942096336436535,0.007114967534458616,0.9455327280096125,0.9526476955440711
606,14923392_20200622_Feet_L_S_1,Med9,0.9379103238485392,0.0014480534729397845,0.006644125003565926,0.9315984050951515,0.9382425300987174
607,14923392_20200622_Feet_L_S_1,Med11,0.9213473867301879,0.013850698113558432,0.04068493156861053,0.8931795447373978,0.9338644763060083
608,14923392_20200622_Feet_L_S_1,Med13,0.8665689897527449,0.0018855728296760979,0.005143321559727854,0.8622485996425736,0.8673919212023015
609,14923392_20200622_Feet_L_S_1,Med15,0.8329606115107344,0.0001928067764868113,0.001377191260620081,0.8329330676855223,0.8343102589461424
610,14923392_20200622_Feet_L_S_1,Med17,0.7814948175760261,0.013473418772044655,0.044564955294953634,0.7687533805938518,0.8133183358888054
611,14923392_20200622_Feet_L_S_1,Med19,0.7172692535321141,0.002894615412581667,0.005818395900553441,0.7140691357868097,0.7198875316873632
612,14923392_20200622_Feet_L_S_2,GL70,0.8991605233984251,0.009358159160734444,0.02005953575867503,0.8900016021292779,0.910061137887953
613,14923392_20200622_Feet_L_S_2,GL72,0.9000400485222545,0.00911797722407372,0.019828088018135404,0.8900016021292779,0.9098296901474133
614,14923392_20200622_Feet_L_S_2,GL74,0.9026141882538513,0.00921058473603121,0.021296398135698613,0.8916742022800864,0.912970600415785
615,14923392_20200622_Feet_L_S_2,GL76,0.9004806543165108,0.010173781587023107,0.024384548539064466,0.8916742022800864,0.9160587508191509
616,14923392_20200622_Feet_L_S_2,GL78,0.91497035501923,0.008356701166489641,0.024283871185673656,0.8973439792853016,0.9216278504709753
617,14923392_20200622_Feet_L_S_2,GL80,0.9102849589546129,0.009363949896910532,0.025426923320107542,0.8931171199963496,0.9185440433164571
618,14923392_20200622_Feet_L_S_2,GL82,0.9141794496409277,0.007618537028588264,0.026715017199358537,0.895620981076594,0.9223359982759526
619,14923392_20200622_Feet_L_S_2,GL84,0.9110975568907412,0.010200039812674288,0.03030716603431638,0.894583163420245,0.9248903294545614
620,14923392_20200622_Feet_L_S_2,GL86,0.9440473124685412,1.1102230246251565e-16,0.0,0.9440473124685413,0.9440473124685413
621,14923392_20200622_Feet_L_S_2,Med3,0.791147198610462,1.1102230246251565e-16,0.0,0.7911471986104621,0.7911471986104621
622,14923392_20200622_Feet_L_S_2,Med5,0.8229934911999017,0.03852118953611033,0.11412541583419755,0.7976198135496986,0.9117452293838961
623,14923392_20200622_Feet_L_S_2,Med7,0.9398689959295369,0.006009048655526714,0.014069974279675934,0.9291758154769829,0.9432457897566588
624,14923392_20200622_Feet_L_S_2,Med9,0.9659898985863177,0.008979299055161724,0.054688317635212313,0.9180503221435858,0.9727386397787982
625,14923392_20200622_Feet_L_S_2,Med11,0.9437763972291306,0.009433623882160833,0.04768654334920408,0.8993737600879846,0.9470603034371887
626,14923392_20200622_Feet_L_S_2,Med13,0.9205884975107773,0.0019183853103807013,0.01370275221700501,0.9071598003381119,0.920862552555117
627,14923392_20200622_Feet_L_S_2,Med15,0.8813589187658448,2.220446049250313e-16,0.0,0.881358918765845,0.881358918765845
628,14923392_20200622_Feet_L_S_2,Med17,0.7936130498151067,0.005462148765723408,0.05489666062123455,0.7930640832088945,0.8479607438301291
629,14923392_20200622_Feet_L_S_2,Med19,0.769103756349185,2.220446049250313e-16,0.0,0.7691037563491853,0.7691037563491853
630,14923392_20200622_Feet_L_S_3,GL70,0.8924322166234043,0.007635922535719127,0.02440451426188528,0.8897477200545966,0.9141522343164818
631,14923392_20200622_Feet_L_S_3,GL72,0.8913582269957729,0.0066540862366674565,0.026079420129695885,0.8895326675866941,0.91561208771639
632,14923392_20200622_Feet_L_S_3,GL74,0.8922934145349786,0.003986765041908627,0.02337083057206868,0.8915922896178164,0.9149631201898851
633,14923392_20200622_Feet_L_S_3,GL76,0.8919603294041513,2.220446049250313e-16,0.0,0.891960329404151,0.891960329404151
634,14923392_20200622_Feet_L_S_3,GL78,0.89244926559807,0.001920050575417595,0.01929723435504893,0.8922562932545196,0.9115535276095685
635,14923392_20200622_Feet_L_S_3,GL80,0.8945287149300435,0.0020251805552437183,0.020353830407475848,0.8943251766259687,0.9146790070334445
636,14923392_20200622_Feet_L_S_3,GL82,0.8919461722868524,0.0,0.0,0.8919461722868524,0.8919461722868524
637,14923392_20200622_Feet_L_S_3,GL84,0.8930210240978664,4.440892098500626e-16,0.0,0.8930210240978669,0.8930210240978669
638,14923392_20200622_Feet_L_S_3,GL86,0.8923341702430814,0.0,0.0,0.8923341702430814,0.8923341702430814
639,14923392_20200622_Feet_L_S_3,Med3,0.8473803745180271,0.012285243849169123,0.08499986894244638,0.8261841829518364,0.9111840518942828
640,14923392_20200622_Feet_L_S_3,Med5,0.9112349194288296,0.002043662896612864,0.02053958492738106,0.9110295235795556,0.9315691085069366
641,14923392_20200622_Feet_L_S_3,Med7,0.9561908748089841,0.02067280423189023,0.051797824962772854,0.9265477111699185,0.9783455361326914
642,14923392_20200622_Feet_L_S_3,Med9,0.947533010199281,0.01720472541980937,0.03754378883200349,0.9212523580168787,0.9587961468488821
643,14923392_20200622_Feet_L_S_3,Med11,0.8957872789770162,0.009001629615801431,0.0202757919930161,0.8903128151389019,0.910588607131918
644,14923392_20200622_Feet_L_S_3,Med13,0.900413892883358,0.011952724308165248,0.02804632686709585,0.8791471283976451,0.9071934552647409
645,14923392_20200622_Feet_L_S_3,Med15,0.8874391341376794,0.0030078780289960346,0.014983555897051137,0.8820115754659107,0.8969951313629618
646,14923392_20200622_Feet_L_S_3,Med17,0.8337482334474298,0.004992528334713101,0.05018192589083592,0.7840774191642716,0.8342593450551076
647,14923392_20200622_Feet_L_S_3,Med19,0.7583873066416708,0.00326832341226635,0.01089713853765395,0.7485990825935462,0.7594962211312002
648,14923392_20200622_Feet_R_S_0,GL70,0.8800837704245589,0.002206153888258645,0.0056236268145138935,0.8790152813298012,0.8846389081443151
649,14923392_20200622_Feet_R_S_0,GL72,0.8845311664208185,0.0005291559696305128,0.005318217596488206,0.8844779842448539,0.8897962018413421
650,14923392_20200622_Feet_R_S_0,GL74,0.8884945771834193,2.220446049250313e-16,0.0,0.8884945771834191,0.8884945771834191
651,14923392_20200622_Feet_R_S_0,GL76,0.8947958861291362,1.1102230246251565e-16,0.0,0.8947958861291361,0.8947958861291361
652,14923392_20200622_Feet_R_S_0,GL78,0.898905298849397,0.0014104237212672142,0.014175291754121688,0.8987635459318557,0.9129388376859774
653,14923392_20200622_Feet_R_S_0,GL80,0.8987635459318557,0.0,0.0,0.8987635459318557,0.8987635459318557
654,14923392_20200622_Feet_R_S_0,GL82,0.9107057414008858,0.002987798590293721,0.011710105930067938,0.9098860339857809,0.9215961399158489
